touchpoint_id,customer_id,campaign_id,channel,is_paid,touchpoint_date,interaction_type
1,1,2,Google Ads,1,2024-02-06 16:00:00.000,Impression
2,1,5,Facebook,1,2024-02-07 01:00:00.000,Impression
3,1,5,Facebook,1,2024-02-09 05:00:00.000,Click
4,1,2,Google Ads,1,2024-02-12 07:00:00.000,Impression
5,1,3,Email,1,2024-02-13 13:00:00.000,Email Open
6,1,5,Facebook,1,2024-02-16 11:00:00.000,Impression
7,1,3,Email,1,2024-03-01 20:00:00.000,Impression
8,2,4,Organic,1,2024-01-29 10:00:00.000,Click
9,2,5,Facebook,1,2024-02-13 05:00:00.000,Impression
10,2,4,Organic,1,2024-02-16 07:00:00.000,Click
11,2,4,Organic,1,2024-02-16 15:00:00.000,Impression
12,2,3,Email,1,2024-02-18 03:00:00.000,Impression
13,2,5,Facebook,1,2024-02-18 03:00:00.000,Impression
14,2,1,Facebook,1,2024-02-18 23:00:00.000,Email Open
15,2,2,Google Ads,1,2024-02-18 23:00:00.000,Impression
16,2,2,Google Ads,1,2024-02-22 17:00:00.000,Click
17,2,1,Facebook,1,2024-02-25 22:00:00.000,Email Open
18,3,1,Facebook,1,2024-01-26 09:00:00.000,Impression
19,3,5,Facebook,1,2024-01-27 20:00:00.000,Impression
20,3,5,Facebook,1,2024-01-29 11:00:00.000,Email Open
21,3,2,Google Ads,1,2024-02-01 01:00:00.000,Impression
22,3,3,Email,1,2024-02-03 21:00:00.000,Impression
23,3,3,Email,1,2024-02-11 15:00:00.000,Click
24,4,4,Organic,1,2024-02-02 15:00:00.000,Impression
25,4,2,Google Ads,1,2024-02-03 23:00:00.000,Impression
26,4,5,Facebook,1,2024-02-06 05:00:00.000,Impression
27,4,2,Google Ads,1,2024-02-10 03:00:00.000,Impression
28,4,1,Facebook,1,2024-02-10 12:00:00.000,Impression
29,4,2,Google Ads,1,2024-02-13 03:00:00.000,Impression
30,4,2,Google Ads,1,2024-02-16 13:00:00.000,Impression
31,4,3,Email,1,2024-02-17 16:00:00.000,Impression
32,4,1,Facebook,1,2024-02-20 14:00:00.000,Click
33,5,2,Google Ads,1,2024-01-30 17:00:00.000,Impression
34,5,2,Google Ads,1,2024-01-31 02:00:00.000,Impression
35,5,4,Organic,1,2024-01-31 11:00:00.000,Impression
36,5,3,Email,1,2024-01-31 12:00:00.000,Impression
37,5,1,Facebook,1,2024-02-01 03:00:00.000,Impression
38,5,1,Facebook,1,2024-02-08 12:00:00.000,Impression
39,5,2,Google Ads,1,2024-02-12 07:00:00.000,Impression
40,6,2,Google Ads,1,2024-03-27 06:00:00.000,Click
41,6,1,Facebook,1,2024-03-27 11:00:00.000,Impression
42,6,4,Organic,1,2024-03-30 06:00:00.000,Impression
43,6,4,Organic,1,2024-03-31 15:00:00.000,Click
44,7,1,Facebook,1,2024-01-29 04:00:00.000,Impression
45,7,3,Email,1,2024-01-31 03:00:00.000,Impression
46,7,4,Organic,1,2024-02-04 01:00:00.000,Impression
47,7,5,Facebook,1,2024-02-06 03:00:00.000,Click
48,7,1,Facebook,1,2024-02-08 03:00:00.000,Email Open
49,8,4,Organic,1,2024-02-06 20:00:00.000,Impression
50,8,4,Organic,1,2024-02-09 16:00:00.000,Impression
51,8,1,Facebook,1,2024-02-11 02:00:00.000,Impression
52,8,4,Organic,1,2024-02-14 11:00:00.000,Impression
53,8,5,Facebook,1,2024-02-15 21:00:00.000,Click
54,9,4,Organic,1,2024-03-02 19:00:00.000,Click
55,9,2,Google Ads,1,2024-03-04 12:00:00.000,Impression
56,9,1,Facebook,1,2024-03-07 15:00:00.000,Click
57,9,4,Organic,1,2024-03-08 15:00:00.000,Impression
58,9,4,Organic,1,2024-03-15 18:00:00.000,Click
59,9,3,Email,1,2024-03-16 16:00:00.000,Impression
60,10,2,Google Ads,1,2024-03-25 16:00:00.000,Impression
61,10,3,Email,1,2024-03-29 05:00:00.000,Click
62,10,4,Organic,1,2024-03-30 14:00:00.000,Impression
63,10,4,Organic,1,2024-04-02 00:00:00.000,Email Open
64,10,2,Google Ads,1,2024-04-09 22:00:00.000,Impression
65,10,3,Email,1,2024-04-12 23:00:00.000,Click
66,11,5,Facebook,1,2024-01-12 14:00:00.000,Impression
67,11,2,Google Ads,1,2024-01-13 10:00:00.000,Impression
68,11,4,Organic,1,2024-01-27 20:00:00.000,Click
69,11,4,Organic,1,2024-02-04 13:00:00.000,Click
70,11,1,Facebook,1,2024-02-12 04:00:00.000,Impression
71,11,2,Google Ads,1,2024-02-15 13:00:00.000,Impression
72,11,5,Facebook,1,2024-02-16 09:00:00.000,Impression
73,11,5,Facebook,1,2024-02-17 09:00:00.000,Click
74,12,4,Organic,1,2024-03-08 02:00:00.000,Impression
75,12,4,Organic,1,2024-03-10 09:00:00.000,Impression
76,12,3,Email,1,2024-03-13 23:00:00.000,Impression
77,12,3,Email,1,2024-03-28 17:00:00.000,Click
78,12,2,Google Ads,1,2024-03-31 02:00:00.000,Click
79,13,2,Google Ads,1,2024-02-07 21:00:00.000,Impression
80,13,4,Organic,1,2024-02-11 20:00:00.000,Click
81,13,3,Email,1,2024-02-26 03:00:00.000,Impression
82,13,3,Email,1,2024-02-26 11:00:00.000,Click
83,13,5,Facebook,1,2024-03-12 07:00:00.000,Impression
84,13,5,Facebook,1,2024-03-13 11:00:00.000,Impression
85,13,5,Facebook,1,2024-03-14 17:00:00.000,Impression
86,14,4,Organic,1,2024-02-14 14:00:00.000,Click
87,14,3,Email,1,2024-02-16 11:00:00.000,Email Open
88,14,5,Facebook,1,2024-02-23 22:00:00.000,Impression
89,14,2,Google Ads,1,2024-02-26 12:00:00.000,Impression
90,14,1,Facebook,1,2024-03-04 23:00:00.000,Impression
91,14,2,Google Ads,1,2024-03-07 16:00:00.000,Click
92,14,4,Organic,1,2024-03-10 06:00:00.000,Click
93,14,4,Organic,1,2024-03-10 07:00:00.000,Email Open
94,15,5,Facebook,1,2024-04-01 23:00:00.000,Click
95,15,2,Google Ads,1,2024-04-09 18:00:00.000,Impression
96,15,2,Google Ads,1,2024-04-11 08:00:00.000,Click
97,15,2,Google Ads,1,2024-04-12 05:00:00.000,Impression
